country,cri_rank,cri_score,fatalities_rank,fatalities_total,losses_usdm_ppp_total,rw_country_code
Saudi Arabia,79,72.5,18,140,1.229,SAU
Romania,61,61.5,102,1,2797.884,ROU
Spain,69,66.33,47,22,637.07,ESP
Slovenia,135,124.5,114,0,0,SVN
South Sudan,133,117.33,114,0,0.508,SSD
Sierra Leone,102,88.5,68,10,0.114,SLE
South Africa,33,45.67,51,19,3427.958,ZAF
Serbia,83,75.5,114,0,272.927,SRB
Slovak Republic,123,105.33,102,1,7.468,SVK
Solomon Islands,89,76.83,102,1,0.511,SLB
Swaziland,128,109.33,114,0,1.89,SWZ
Turkey,126,106,57,13,3.223,TUR
Tanzania,72,68.67,26,79,17.055,TZA
Tunisia,135,124.5,114,0,0,TUN
Thailand,53,57,60,12,2838.711,THA
The Bahamas,7,22.83,39,33,80.642,BHS
Uganda,130,110.5,81,4,0.986,UGA
Vietnam,29,43.5,25,91,822.584,VNM
United Kingdom,66,65.17,65,11,2894.407,GBR
Uruguay,112,97.5,114,0,34.317,URY
Venezuela,135,124.5,114,0,0,VEN
United States,21,36.17,8,325,27122.7,USA
Vanuatu,5,20.33,65,11,278.862,VUT
United Arab Emirates,127,109.17,85,3,0.087,ARE
Ukraine,103,89.33,114,0,206.68,UKR
Bolivia,37,47,35,43,62.734,BOL
Belgium,46,52.83,5,410,43.583,BEL
Cote d'Ivoire,108,95,53,16,0.253,CIV
Croatia,95,82.67,114,0,149.488,HRV
Sri Lanka,98,86,57,13,17.608,LKA
Ecuador,73,69.17,39,33,18.318,ECU
Egypt,58,59.67,17,145,160.896,EGY
Sweden,104,90.33,114,0,235.938,SWE
Moldova,70,66.67,114,0,277.066,MDA
Mauritania,135,124.5,114,0,0,MRT
Mexico,52,56.33,29,67,1246.623,MEX
Singapore,135,124.5,114,0,0,SGP
Suriname,135,124.5,114,0,0,SUR
Azerbaijan,135,124.5,114,0,0,AZE
Australia,20,35.5,45,26,3812.502,AUS
Angola,50,56,28,75,71.805,AGO
Greece,67,65.33,90,2,675.02,GRC
Guyana,135,124.5,114,0,0,GUY
Guinea,100,86.33,57,13,0.446,GIN
Honduras,44,52.17,60,12,68.647,HND
Ghana,8,23.33,10,267,306.28,GHA
Hungary,109,96.67,102,1,64.401,HUN
Islamic Republic of Iran,44,52.17,30,65,976.328,IRN
Iraq,93,78,30,65,3.233,IRQ
Indonesia,39,48.67,24,104,4186.23,IDN
Italy,19,34.83,13,174,2084.897,ITA
Ireland,74,69.67,90,2,281.689,IRL
Antigua and Barbuda,135,124.5,114,0,0,ATG
Albania,55,58,85,3,73.622,ALB
Algeria,91,77.5,46,23,83.645,DZA
Austria,53,57,81,4,829.069,AUT
Argentina,63,63.67,44,28,371.67,ARG
Bahrain,135,124.5,114,0,0,BHR
Belarus,135,124.5,114,0,0,BLR
Barbados,135,124.5,114,0,0,BRB
Bosnia and Herzegovina,56,58.17,102,1,308.306,BIH
Benin,135,124.5,114,0,0,BEN
Cambodia,48,54.17,55,14,95.701,KHM
Canada,77,71,85,3,2179.454,CAN
Central African Republic,135,124.5,114,0,0,CAF
Bulgaria,27,42.5,74,7,756.356,BGR
Brazil,87,76.17,38,36,671.916,BRA
Burkina Faso,60,61,72,8,84.319,BFA
Cameroon,116,102.83,81,4,5.098,CMR
China,23,38,4,916,36272.535,CHN
Chad,135,124.5,114,0,0,TCD
Chile,10,25.17,37,39,2652.691,CHL
Colombia,33,45.67,22,108,331.137,COL
Denmark,120,104.17,114,0,40.34,DNK
Democratic Republic of Congo,68,65.67,32,60,36.516,COD
Dominican Republic,80,74.83,90,2,167.341,DOM
Czech Republic,115,98.67,114,0,91.282,CZE
Finland,135,124.5,114,0,0,FIN
Estonia,135,124.5,114,0,0,EST
Ethiopia,65,64.33,114,0,1314.016,ETH
Gabon,135,124.5,114,0,0,GAB
Fiji,41,51,85,3,18.557,FJI
Germany,64,63.83,52,18,2869.197,DEU
Eritrea,135,124.5,114,0,0,ERI
Georgia,30,44,50,20,51.219,GEO
France,16,33.33,2,3336,1069.897,FRA
Guinea-Bissau,49,54.83,74,7,3.814,GNB
Afghanistan,28,43.33,6,364,33.45,AFG
Iceland,117,103.17,114,0,6.358,ISL
India,4,15.33,1,4317,40077.222,IND
Kenya,62,62.17,15,171,12.564,KEN
Lao Peopleâ€™s Democratic Republic,94,81.17,90,2,32.194,LAO
Republic of Korea,135,124.5,114,0,0,KOR
Kazakhstan,105,93.17,90,2,99.411,KAZ
Kyrgyz Republic,101,88,72,8,0.397,KGZ
Japan,36,46.33,23,106,4174.851,JPN
Kiribati,83,75.5,114,0,12.625,KIR
Latvia,135,124.5,114,0,0,LVA
Lithuania,135,124.5,114,0,0,LTU
Malawi,3,13.83,20,111,907.985,MWI
Libya,135,124.5,114,0,0,LBY
Madagascar,8,23.33,19,118,228.038,MDG
Malaysia,132,117,90,2,0.276,MYS
Liberia,98,86,102,1,3.694,LBR
Malta,135,124.5,114,0,0,MLT
Mali,124,105.83,78,5,0.136,MLI
Netherlands,107,94.5,90,2,126.514,NLD
Nigeria,86,76,26,79,128.768,NGA
Morocco,134,121.5,102,1,0.027,MAR
Nicaragua,24,40.83,60,12,134.805,NIC
Niger,90,77.17,49,21,2.649,NER
New Zealand,85,75.83,102,1,201.805,NZL
Poland,71,67,47,22,333.205,POL
Norway,76,70.83,81,4,161.838,NOR
Papua New Guinea,25,41.5,55,14,112.043,PNG
Portugal,121,104.5,90,2,7.322,PRT
Peru,32,45.5,34,45,385.632,PER
Pakistan,11,28.17,3,1663,907.122,PAK
Panama,122,104.83,102,1,3.436,PAN
Paraguay,38,47.5,76,6,284.588,PRY
Republic of Congo,119,104,90,2,0.166,COG
Republic of Yemen,26,41.83,41,32,230.67,YEM
Senegal,124,105.83,114,0,8.071,SEN
Russia,57,59.5,21,110,937.386,RUS
Bhutan,87,76.17,78,5,0.297,BTN
Uzbekistan,135,124.5,114,0,0,UZB
Zambia,113,98.33,114,0,28.5,ZMB
Zimbabwe,14,29.5,43,29,253.578,ZWE
Armenia,113,98.33,114,0,13.266,ARM
Botswana,75,70.17,114,0,242.431,BWA
Bangladesh,35,46.17,16,168,556.442,BGD
Belize,135,124.5,114,0,0,BLZ
Cape Verde,43,52,90,2,8.511,CPV
Brunei Darussalam,135,124.5,114,0,0,BRN
Burundi,15,33,33,48,37.006,BDI
Comoros,135,124.5,114,0,0,COM
Cyprus,135,124.5,114,0,0,CYP
Dominica,2,13,42,31,611.219,DMA
Saint Vincent and the Grenadines,135,124.5,114,0,0,VCT
Taiwan,51,56.17,65,11,1472.523,
Costa Rica,91,77.5,90,2,56.885,CRI
St. Lucia,135,124.5,114,0,0,LCA
Switzerland,96,85.33,85,3,94.589,CHE
Sudan,82,75.33,35,43,13.519,SDN
Djibouti,135,124.5,114,0,0,DJI
Jamaica,135,124.5,114,0,0,JAM
Democratic Republic of Timor-Leste,135,124.5,114,0,0,TLS
Luxembourg,135,124.5,114,0,0,LUX
El Salvador,47,53,78,5,184.311,SLV
St. Kitts and Nevis,135,124.5,114,0,0,KNA
Tajikistan,22,37.67,68,10,263.053,TJK
Former Yugoslav Republic of Macedonia,18,33.83,76,6,259.554,MKD
Grenada,135,124.5,114,0,0,GRD
Haiti,40,50.33,60,12,56.28,HTI
Guatemala,31,45,9,288,52.921,GTM
Israel,105,93.17,102,1,90.509,ISR
Jordan,118,103.5,90,2,2.314,JOR
Tuvalu,81,75.17,114,0,12.333,TUV
Kuwait,135,124.5,114,0,0,KWT
Micronesia,12,28.5,71,9,38.491,FSM
Kosovo,135,124.5,114,0,0,
Mauritius,135,124.5,114,0,0,MUS
Mongolia,59,59.83,102,1,231.767,MNG
Nepal,42,51.33,11,198,20.981,NPL
Namibia,97,85.83,114,0,44.533,NAM
Mozambique,1,12.17,7,351,500.073,MOZ
Myanmar,6,20.83,14,173,1359.654,MMR
Philippines,13,28.83,12,196,1797.737,PHL
Oman,16,33.33,60,12,654.718,OMN
Lesotho,135,124.5,114,0,0,LSO
Lebanon,78,72.33,54,15,6.651,LBN
Marshall Islands,135,124.5,114,0,0,MHL
Montenegro,135,124.5,114,0,0,MNE
Rwanda,110,97,68,10,0.025,RWA
Qatar,129,110.33,114,0,19.273,QAT
Puerto Rico,110,97,114,0,57.565,
Samoa,135,124.5,114,0,0,WSM
Seychelles,135,124.5,114,0,0,SYC
Gambia,135,124.5,114,0,0,GMB
Togo,131,114.33,102,1,0.13,TGO
Trinidad and Tobago,135,124.5,114,0,0,TTO
Tonga,135,124.5,114,0,0,TON